area,bedrooms,age,price
3284,4.0,9,537406.0
3159,3.0,35,473096.0
3816,3.0,36,602623.0
3435,5.0,0,580916.0
3363,3.0,41,517312.0
3983,6.0,24,653453.0
3633,5.0,35,565513.0
2877,4.0,40,454754.0
3199,5.0,6,543214.0
3694,5.0,17,613454.0
4096,4.0,33,625278.0
3200,6.0,44,518700.0
4020,5.0,11,652472.0
2914,5.0,39,458220.0
3305,3.0,4,521151.0
3151,3.0,41,476305.0
2687,6.0,28,429939.0
2774,5.0,32,463004.0
3449,4.0,17,545402.0
3137,6.0,9,543352.0
3445,4.0,49,540747.0
2672,5.0,28,431525.0
3377,3.0,40,533086.0
2715,6.0,19,464264.0
3576,3.0,45,552887.0
3355,3.0,9,512410.0
4055,4.0,11,660381.0
3048,4.0,26,472312.0
3450,5.0,44,555884.0
2699,3.0,22,414268.0
3801,5.0,47,583225.0
3355,6.0,8,556340.0
3397,6.0,40,535453.0
3259,5.0,2,555170.0
3771,3.0,15,600122.0
3510,5.0,26,557045.0
3023,5.0,46,489377.0
3912,4.0,29,627129.0
3889,6.0,11,651174.0
3297,6.0,17,549696.0
3239,5.0,49,514286.0
3144,4.0,46,470936.0
3143,6.0,32,520911.0
3314,3.0,39,498335.0
2844,6.0,7,500932.0
2751,5.0,5,469762.0
3275,5.0,17,547815.0
3110,6.0,8,541952.0
4083,3.0,30,632031.0
3482,6.0,44,549895.0
3807,3.0,48,587014.0
2628,6.0,10,429793.0
3402,4.0,34,526524.0
2728,,44,
2728,3.0,18,442936.0
3677,5.0,47,565106.0
3356,6.0,5,546681.0
2873,3.0,29,438570.0
2935,3.0,1,489411.0
2988,3.0,39,477100.0
3666,3.0,36,567047.0
4066,3.0,30,610468.0
3143,6.0,14,524518.0
3488,3.0,8,560666.0
2857,4.0,40,458957.0
3945,3.0,29,621672.0
2657,4.0,2,432831.0
2891,3.0,24,452772.0
3743,4.0,39,581586.0
3379,5.0,42,533258.0
3030,4.0,2,511048.0
3706,5.0,2,588511.0
2691,5.0,23,439722.0
2998,5.0,38,478622.0
3211,4.0,8,521276.0
3508,4.0,34,550130.0
3233,3.0,9,515939.0
2684,4.0,30,444565.0
2803,5.0,2,474121.0
2924,3.0,48,460855.0
3374,3.0,17,523524.0
3564,3.0,28,565749.0
3671,3.0,19,584197.0
3239,3.0,49,504454.0
3755,4.0,13,609270.0
3572,4.0,48,539694.0
3468,5.0,4,586428.0
3804,6.0,44,621121.0
3767,5.0,10,605355.0
3851,3.0,3,587945.0
3554,3.0,13,544127.0
3391,5.0,8,567449.0
3319,6.0,9,543213.0
3509,4.0,10,563663.0
2973,5.0,2,495050.0
3160,6.0,6,515973.0
3929,3.0,37,605540.0
2769,5.0,0,454964.0
4072,5.0,25,639204.0
3719,5.0,29,574007.0
3821,6.0,8,615658.0
2856,4.0,38,457693.0
3916,6.0,6,648585.0
3416,3.0,14,545390.0
2987,5.0,49,485632.0
3573,6.0,13,585238.0
2968,4.0,41,476762.0
3517,5.0,34,570156.0
2801,3.0,16,423473.0
2983,6.0,46,471877.0
2970,4.0,29,475070.0
3155,5.0,1,520847.0
3554,5.0,6,570352.0
4007,3.0,45,595094.0
2623,6.0,39,440071.0
2730,3.0,6,445849.0
2977,4.0,25,486891.0
2698,3.0,12,411587.0
3531,5.0,1,594335.0
